nome;idade;peso;especie;sexo;raca;historico_doencas;estado_vacinal;temperamento;alergias;risco
Paciente1;6;19.5;Canina;M;Labrador;Nenhum;Desconhecido;Sociável;Nenhuma;Sem Problemas
Paciente2;13;6.7;Canina;M;Golden Retriever;Insuficiência Renal;Completo;Agressivo;Ração;Internação
Paciente5;9;45.0;Canina;M;Labrador;Diabetes;Incompleto;Calmo;Ácaro;Morte
Paciente6;2;3.0;Canina;F;Labrador;Diabetes;Incompleto;Sociável;Medicamento;Sem Problemas
Paciente8;15;42.4;Canina;F;Bulldog;Alergia Crônica;Desconhecido;Medroso;Nenhuma;Internação
Paciente12;11;6.9;Canina;F;Vira-lata;Insuficiência Renal;Incompleto;Calmo;Medicamento;Internação
Paciente14;19;59.3;Canina;M;Bulldog;Insuficiência Renal;Desconhecido;Calmo;Ácaro;Sem Problemas
Paciente15;4;39.6;Canina;F;Bulldog;Alergia Crônica;Incompleto;Agressivo;Ácaro;Sem Problemas
Paciente19;18;14.5;Canina;M;Poodle;Cardiopatia;Completo;Calmo;Ração;Sem Problemas
Paciente20;16;8.9;Canina;F;Labrador;Insuficiência Renal;Desconhecido;Sociável;Pólen;Internação
Paciente21;1;17.1;Canina;F;Vira-lata;Alergia Crônica;Desconhecido;Sociável;Nenhuma;Morte
Paciente22;15;14.3;Canina;F;Labrador;Alergia Crônica;Completo;Sociável;Nenhuma;Internação
Paciente25;3;56.8;Canina;M;Golden Retriever;Cardiopatia;Desconhecido;Calmo;Nenhuma;Sem Problemas
Paciente26;8;48.5;Canina;F;Labrador;Alergia Crônica;Desconhecido;Sociável;Ração;Sem Problemas
Paciente28;18;14.6;Canina;F;Bulldog;Alergia Crônica;Completo;Agressivo;Medicamento;Sem Problemas
Paciente29;2;56.3;Canina;F;Poodle;Problema Articular;Completo;Agressivo;Ácaro;Internação
Paciente30;12;12.6;Canina;M;Labrador;Alergia Crônica;Desconhecido;Agressivo;Nenhuma;Sem Problemas
Paciente33;1;21.7;Canina;F;Pitbull;Problema Articular;Desconhecido;Sociável;Medicamento;Morte
Paciente34;19;16.3;Canina;F;Bulldog;Insuficiência Renal;Completo;Sociável;Ração;Sem Problemas
Paciente37;13;15.9;Canina;F;Pitbull;Cardiopatia;Incompleto;Agressivo;Pólen;Internação
Paciente38;7;22.8;Canina;F;Poodle;Nenhum;Incompleto;Agressivo;Medicamento;Sem Problemas
Paciente39;10;18.6;Canina;M;Labrador;Insuficiência Renal;Desconhecido;Agressivo;Nenhuma;Sem Problemas
Paciente41;8;43.7;Canina;F;Bulldog;Diabetes;Desconhecido;Calmo;Ácaro;Sem Problemas
Paciente43;0;20.0;Canina;F;Vira-lata;Alergia Crônica;Desconhecido;Agressivo;Medicamento;Sem Problemas
Paciente48;7;21.8;Canina;F;Labrador;Diabetes;Incompleto;Agressivo;Ração;Internação
Paciente49;5;33.8;Canina;M;Golden Retriever;Insuficiência Renal;Desconhecido;Sociável;Ração;Sem Problemas
Paciente50;2;42.0;Canina;M;Bulldog;Cardiopatia;Desconhecido;Medroso;Ração;Sem Problemas
Paciente51;6;41.6;Canina;M;Labrador;Insuficiência Renal;Completo;Calmo;Ração;Internação
Paciente56;10;36.9;Canina;F;Poodle;Problema Articular;Completo;Sociável;Ácaro;Internação
Paciente60;17;9.9;Canina;F;Golden Retriever;Alergia Crônica;Desconhecido;Medroso;Ração;Sem Problemas
Paciente62;15;52.6;Canina;M;Golden Retriever;Problema Articular;Completo;Agressivo;Ácaro;Sem Problemas
Paciente63;6;12.8;Canina;M;Bulldog;Cardiopatia;Desconhecido;Sociável;Nenhuma;Sem Problemas
Paciente64;9;58.4;Canina;F;Poodle;Cardiopatia;Completo;Agressivo;Pólen;Internação
Paciente65;12;32.7;Canina;M;Pitbull;Cardiopatia;Incompleto;Sociável;Medicamento;Sem Problemas
Paciente67;2;54.2;Canina;F;Bulldog;Alergia Crônica;Completo;Medroso;Medicamento;Sem Problemas
Paciente70;0;13.1;Canina;M;Bulldog;Insuficiência Renal;Completo;Agressivo;Ácaro;Internação
Paciente73;10;49.5;Canina;F;Pitbull;Nenhum;Completo;Medroso;Nenhuma;Sem Problemas
